TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/05/04
TIME	08:59:44
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	700.0000
LASTX	300.0000
NPOINTS	801
FIRSTY	0.02646
MAXY	0.04518
MINY	0.00478
XYDATA
700.0000	0.02646
699.5000	0.02617
699.0000	0.02574
698.5000	0.02579
698.0000	0.02587
697.5000	0.02593
697.0000	0.02602
696.5000	0.02609
696.0000	0.02615
695.5000	0.02627
695.0000	0.02646
694.5000	0.02651
694.0000	0.02671
693.5000	0.02679
693.0000	0.02701
692.5000	0.02694
692.0000	0.0271
691.5000	0.02721
691.0000	0.02745
690.5000	0.02746
690.0000	0.02753
689.5000	0.02762
689.0000	0.02776
688.5000	0.02763
688.0000	0.02758
687.5000	0.02748
687.0000	0.02738
686.5000	0.02717
686.0000	0.02699
685.5000	0.02686
685.0000	0.02658
684.5000	0.02633
684.0000	0.02601
683.5000	0.02589
683.0000	0.02562
682.5000	0.02542
682.0000	0.02508
681.5000	0.02488
681.0000	0.02463
680.5000	0.02441
680.0000	0.02366
679.5000	0.02329
679.0000	0.02302
678.5000	0.02283
678.0000	0.02295
677.5000	0.02295
677.0000	0.02295
676.5000	0.02295
676.0000	0.02288
675.5000	0.02291
675.0000	0.02292
674.5000	0.02295
674.0000	0.0229
673.5000	0.02285
673.0000	0.02286
672.5000	0.02285
672.0000	0.0229
671.5000	0.02284
671.0000	0.02284
670.5000	0.02282
670.0000	0.02281
669.5000	0.02281
669.0000	0.02286
668.5000	0.02288
668.0000	0.02289
667.5000	0.02283
667.0000	0.02287
666.5000	0.0229
666.0000	0.02299
665.5000	0.02286
665.0000	0.02286
664.5000	0.02292
664.0000	0.02305
663.5000	0.02303
663.0000	0.02294
662.5000	0.0229
662.0000	0.02297
661.5000	0.02303
661.0000	0.02313
660.5000	0.02314
660.0000	0.02303
659.5000	0.02301
659.0000	0.02306
658.5000	0.023
658.0000	0.02297
657.5000	0.02303
657.0000	0.02307
656.5000	0.02312
656.0000	0.02307
655.5000	0.02301
655.0000	0.02292
654.5000	0.02296
654.0000	0.02291
653.5000	0.02287
653.0000	0.02277
652.5000	0.02288
652.0000	0.02291
651.5000	0.0228
651.0000	0.0227
650.5000	0.02267
650.0000	0.02258
649.5000	0.02254
649.0000	0.02246
648.5000	0.02247
648.0000	0.02233
647.5000	0.02223
647.0000	0.02212
646.5000	0.02214
646.0000	0.02204
645.5000	0.02205
645.0000	0.02201
644.5000	0.02202
644.0000	0.02188
643.5000	0.0218
643.0000	0.0216
642.5000	0.02157
642.0000	0.02153
641.5000	0.02145
641.0000	0.02141
640.5000	0.02134
640.0000	0.02115
639.5000	0.02116
639.0000	0.02114
638.5000	0.02112
638.0000	0.02106
637.5000	0.02099
637.0000	0.02095
636.5000	0.02089
636.0000	0.02087
635.5000	0.02079
635.0000	0.0206
634.5000	0.02045
634.0000	0.02033
633.5000	0.02035
633.0000	0.02025
632.5000	0.02014
632.0000	0.02002
631.5000	0.02
631.0000	0.01991
630.5000	0.01974
630.0000	0.01969
629.5000	0.01966
629.0000	0.01957
628.5000	0.0194
628.0000	0.01914
627.5000	0.01919
627.0000	0.01915
626.5000	0.01917
626.0000	0.01911
625.5000	0.01905
625.0000	0.01894
624.5000	0.01887
624.0000	0.01882
623.5000	0.01869
623.0000	0.01856
622.5000	0.01858
622.0000	0.01859
621.5000	0.01848
621.0000	0.01835
620.5000	0.01832
620.0000	0.01827
619.5000	0.01808
619.0000	0.01792
618.5000	0.01788
618.0000	0.018
617.5000	0.0179
617.0000	0.01778
616.5000	0.01768
616.0000	0.01756
615.5000	0.01745
615.0000	0.01736
614.5000	0.01732
614.0000	0.01725
613.5000	0.01722
613.0000	0.01714
612.5000	0.01716
612.0000	0.01705
611.5000	0.01691
611.0000	0.01675
610.5000	0.0168
610.0000	0.01689
609.5000	0.01681
609.0000	0.01674
608.5000	0.01659
608.0000	0.01637
607.5000	0.01636
607.0000	0.01637
606.5000	0.01635
