TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/05/04
TIME	09:15:04
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	700.0000
LASTX	300.0000
NPOINTS	801
FIRSTY	0.02424
MAXY	0.61023
MINY	0.02302
XYDATA
700.0000	0.02424
699.5000	0.02396
699.0000	0.02367
698.5000	0.02376
698.0000	0.02393
697.5000	0.02401
697.0000	0.02414
696.5000	0.02428
696.0000	0.02451
695.5000	0.02471
695.0000	0.02492
694.5000	0.025
694.0000	0.0251
693.5000	0.02517
693.0000	0.02541
692.5000	0.02552
692.0000	0.02577
691.5000	0.02596
691.0000	0.02621
690.5000	0.02624
690.0000	0.02638
689.5000	0.02649
689.0000	0.02672
688.5000	0.02666
688.0000	0.02666
687.5000	0.02668
687.0000	0.02663
686.5000	0.02643
686.0000	0.02625
685.5000	0.02627
685.0000	0.02613
684.5000	0.02596
684.0000	0.02564
683.5000	0.02547
683.0000	0.02538
682.5000	0.0252
682.0000	0.02515
681.5000	0.02496
681.0000	0.02483
680.5000	0.02464
680.0000	0.02393
679.5000	0.02351
679.0000	0.02318
678.5000	0.02302
678.0000	0.02315
677.5000	0.02329
677.0000	0.02342
676.5000	0.02343
676.0000	0.02344
675.5000	0.02346
675.0000	0.02354
674.5000	0.02355
674.0000	0.02356
673.5000	0.02357
673.0000	0.02367
672.5000	0.02375
672.0000	0.02387
671.5000	0.02382
671.0000	0.02373
670.5000	0.02363
670.0000	0.02364
669.5000	0.0237
669.0000	0.0238
668.5000	0.02375
668.0000	0.02378
667.5000	0.0238
667.0000	0.02376
666.5000	0.02376
666.0000	0.02376
665.5000	0.02372
665.0000	0.02381
664.5000	0.02394
664.0000	0.02424
663.5000	0.02422
663.0000	0.02424
662.5000	0.02418
662.0000	0.02415
661.5000	0.02422
661.0000	0.02433
660.5000	0.02428
660.0000	0.02434
659.5000	0.02436
659.0000	0.02441
658.5000	0.02431
658.0000	0.02421
657.5000	0.0243
657.0000	0.02435
656.5000	0.02447
656.0000	0.02462
655.5000	0.02458
655.0000	0.02459
654.5000	0.02458
654.0000	0.02458
653.5000	0.02454
653.0000	0.02456
652.5000	0.02461
652.0000	0.02467
651.5000	0.02465
651.0000	0.02466
650.5000	0.02469
650.0000	0.0248
649.5000	0.02482
649.0000	0.02482
648.5000	0.02482
648.0000	0.02483
647.5000	0.02484
647.0000	0.02484
646.5000	0.02491
646.0000	0.02489
645.5000	0.02498
645.0000	0.02504
644.5000	0.02501
644.0000	0.02498
643.5000	0.02494
643.0000	0.02498
642.5000	0.02498
642.0000	0.02509
641.5000	0.02515
641.0000	0.02512
640.5000	0.02502
640.0000	0.02489
639.5000	0.02497
639.0000	0.02509
638.5000	0.02512
638.0000	0.02511
637.5000	0.02513
637.0000	0.02519
636.5000	0.02515
636.0000	0.02511
635.5000	0.02521
635.0000	0.02529
634.5000	0.02533
634.0000	0.02527
633.5000	0.0253
633.0000	0.02529
632.5000	0.02529
632.0000	0.02527
631.5000	0.02533
631.0000	0.02535
630.5000	0.02537
630.0000	0.02536
629.5000	0.0254
629.0000	0.02547
628.5000	0.02546
628.0000	0.02545
627.5000	0.02544
627.0000	0.02549
626.5000	0.02551
626.0000	0.02557
625.5000	0.02552
625.0000	0.02562
624.5000	0.02561
624.0000	0.02568
623.5000	0.02557
623.0000	0.02551
622.5000	0.02565
622.0000	0.02573
621.5000	0.02574
621.0000	0.02574
620.5000	0.02583
620.0000	0.02583
619.5000	0.02576
619.0000	0.02565
618.5000	0.02568
618.0000	0.02572
617.5000	0.02574
617.0000	0.02566
616.5000	0.02571
616.0000	0.02572
615.5000	0.02581
615.0000	0.02577
614.5000	0.02575
614.0000	0.02571
613.5000	0.02572
613.0000	0.02582
612.5000	0.02588
612.0000	0.02598
611.5000	0.02587
611.0000	0.02584
610.5000	0.02587
610.0000	0.02595
609.5000	0.02591
609.0000	0.02597
608.5000	0.026
608.0000	0.02604
607.5000	0.02612
607.0000	0.02611
606.5000	0.02612
