TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/05/04
TIME	09:25:21
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	700.0000
LASTX	300.0000
NPOINTS	801
FIRSTY	0.04338
MAXY	0.08452
MINY	0.02108
XYDATA
700.0000	0.04338
699.5000	0.04316
699.0000	0.04278
698.5000	0.04281
698.0000	0.0427
697.5000	0.04273
697.0000	0.04282
696.5000	0.04292
696.0000	0.04293
695.5000	0.04296
695.0000	0.04303
694.5000	0.0431
694.0000	0.04322
693.5000	0.04331
693.0000	0.04344
692.5000	0.04338
692.0000	0.04344
691.5000	0.04356
691.0000	0.04381
690.5000	0.04373
690.0000	0.04377
689.5000	0.04381
689.0000	0.044
688.5000	0.04384
688.0000	0.04373
687.5000	0.04369
687.0000	0.0436
686.5000	0.04337
686.0000	0.04314
685.5000	0.04293
685.0000	0.04272
684.5000	0.04244
684.0000	0.04229
683.5000	0.04214
683.0000	0.04204
682.5000	0.04178
682.0000	0.04153
681.5000	0.04124
681.0000	0.04109
680.5000	0.04093
680.0000	0.04028
679.5000	0.03994
679.0000	0.03963
678.5000	0.03937
678.0000	0.03928
677.5000	0.03932
677.0000	0.03949
676.5000	0.03952
676.0000	0.03952
675.5000	0.03949
675.0000	0.03953
674.5000	0.0396
674.0000	0.03958
673.5000	0.03954
673.0000	0.0394
672.5000	0.03942
672.0000	0.03934
671.5000	0.03934
671.0000	0.03939
670.5000	0.03939
670.0000	0.0394
669.5000	0.03935
669.0000	0.03941
668.5000	0.03939
668.0000	0.03948
667.5000	0.03944
667.0000	0.03945
666.5000	0.03951
666.0000	0.03964
665.5000	0.03961
665.0000	0.03952
664.5000	0.03959
664.0000	0.03969
663.5000	0.03978
663.0000	0.03981
662.5000	0.03975
662.0000	0.03965
661.5000	0.03968
661.0000	0.03982
660.5000	0.03981
660.0000	0.03984
659.5000	0.03984
659.0000	0.03992
658.5000	0.03986
658.0000	0.03983
657.5000	0.03987
657.0000	0.03993
656.5000	0.04002
656.0000	0.04005
655.5000	0.03999
655.0000	0.03988
654.5000	0.03992
654.0000	0.03986
653.5000	0.03983
653.0000	0.03967
652.5000	0.03965
652.0000	0.03959
651.5000	0.03963
651.0000	0.03963
650.5000	0.03952
650.0000	0.03942
649.5000	0.03934
649.0000	0.03924
648.5000	0.03918
648.0000	0.03899
647.5000	0.03898
647.0000	0.03885
646.5000	0.03883
646.0000	0.03867
645.5000	0.03861
645.0000	0.03853
644.5000	0.03843
644.0000	0.03826
643.5000	0.03813
643.0000	0.038
642.5000	0.03795
642.0000	0.03786
641.5000	0.03774
641.0000	0.03765
640.5000	0.03755
640.0000	0.03738
639.5000	0.03739
639.0000	0.03727
638.5000	0.0372
638.0000	0.03699
637.5000	0.03695
637.0000	0.03681
636.5000	0.03674
636.0000	0.03658
635.5000	0.03655
635.0000	0.03641
634.5000	0.03627
634.0000	0.03608
633.5000	0.03601
633.0000	0.03586
632.5000	0.0357
632.0000	0.03552
631.5000	0.03542
631.0000	0.03527
630.5000	0.03512
630.0000	0.03503
629.5000	0.035
629.0000	0.03482
628.5000	0.03463
628.0000	0.03434
627.5000	0.0343
627.0000	0.03421
626.5000	0.03424
626.0000	0.0341
625.5000	0.034
625.0000	0.03381
624.5000	0.0337
624.0000	0.03357
623.5000	0.03347
623.0000	0.03323
622.5000	0.03321
622.0000	0.03321
621.5000	0.03311
621.0000	0.03291
620.5000	0.0328
620.0000	0.0326
619.5000	0.03246
619.0000	0.03224
618.5000	0.03217
618.0000	0.03212
617.5000	0.03205
617.0000	0.03192
616.5000	0.03183
616.0000	0.03168
615.5000	0.03153
615.0000	0.03129
614.5000	0.03123
614.0000	0.03112
613.5000	0.03106
613.0000	0.03096
612.5000	0.03095
612.0000	0.03089
611.5000	0.03076
611.0000	0.03059
610.5000	0.03053
610.0000	0.03042
609.5000	0.03029
609.0000	0.03018
608.5000	0.03001
608.0000	0.02983
607.5000	0.02983
607.0000	0.02986
606.5000	0.02977
