TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/05/04
TIME	09:59:39
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	700.0000
LASTX	300.0000
NPOINTS	801
FIRSTY	0.01329
MAXY	0.05600
MINY	-0.24436
XYDATA
700.0000	0.01329
699.5000	0.01294
699.0000	0.01236
698.5000	0.01237
698.0000	0.01234
697.5000	0.01236
697.0000	0.01233
696.5000	0.01221
696.0000	0.01214
695.5000	0.01209
695.0000	0.01204
694.5000	0.01202
694.0000	0.01205
693.5000	0.01198
693.0000	0.01202
692.5000	0.0119
692.0000	0.01185
691.5000	0.01172
691.0000	0.01173
690.5000	0.01168
690.0000	0.01181
689.5000	0.01175
689.0000	0.01174
688.5000	0.01163
688.0000	0.01158
687.5000	0.01155
687.0000	0.01158
686.5000	0.0116
686.0000	0.01163
685.5000	0.01161
685.0000	0.01158
684.5000	0.01152
684.0000	0.01155
683.5000	0.01154
683.0000	0.01159
682.5000	0.01154
682.0000	0.01155
681.5000	0.01141
681.0000	0.01137
680.5000	0.01154
680.0000	0.01129
679.5000	0.01133
679.0000	0.01121
678.5000	0.01108
678.0000	0.01125
677.5000	0.01132
677.0000	0.01135
676.5000	0.0113
676.0000	0.01124
675.5000	0.01133
675.0000	0.01141
674.5000	0.01142
674.0000	0.01137
673.5000	0.01136
673.0000	0.01131
672.5000	0.01134
672.0000	0.01132
671.5000	0.01133
671.0000	0.01131
670.5000	0.01128
670.0000	0.01135
669.5000	0.01132
669.0000	0.01134
668.5000	0.01137
668.0000	0.01136
667.5000	0.01132
667.0000	0.01142
666.5000	0.01147
666.0000	0.01147
665.5000	0.01142
665.0000	0.0114
664.5000	0.01139
664.0000	0.01135
663.5000	0.01134
663.0000	0.01133
662.5000	0.01133
662.0000	0.01136
661.5000	0.01141
661.0000	0.01143
660.5000	0.01134
660.0000	0.01127
659.5000	0.01128
659.0000	0.01129
658.5000	0.01132
658.0000	0.01148
657.5000	0.01154
657.0000	0.01156
656.5000	0.01152
656.0000	0.01153
655.5000	0.01157
655.0000	0.01156
654.5000	0.01147
654.0000	0.01143
653.5000	0.01141
653.0000	0.01135
652.5000	0.01135
652.0000	0.0113
651.5000	0.01112
651.0000	0.01098
650.5000	0.01091
650.0000	0.01084
649.5000	0.01082
649.0000	0.01072
648.5000	0.01071
648.0000	0.01064
647.5000	0.01059
647.0000	0.01043
646.5000	0.01045
646.0000	0.01034
645.5000	0.01029
645.0000	0.01014
644.5000	0.01008
644.0000	0.00988
643.5000	0.00981
643.0000	0.00975
642.5000	0.00973
642.0000	0.00969
641.5000	0.00959
641.0000	0.00951
640.5000	0.00943
640.0000	0.00937
639.5000	0.00927
639.0000	0.00917
638.5000	0.00912
638.0000	0.00907
637.5000	0.00899
637.0000	0.00893
636.5000	0.00882
636.0000	0.00875
635.5000	0.00861
635.0000	0.00848
634.5000	0.00838
634.0000	0.00821
633.5000	0.00812
633.0000	0.00805
632.5000	0.00801
632.0000	0.00796
631.5000	0.00784
631.0000	0.00778
630.5000	0.00769
630.0000	0.00756
629.5000	0.00748
629.0000	0.00729
628.5000	0.00723
628.0000	0.00708
627.5000	0.00704
627.0000	0.00686
626.5000	0.00679
626.0000	0.00663
625.5000	0.00657
625.0000	0.00641
624.5000	0.00635
624.0000	0.00618
623.5000	0.00608
623.0000	0.00594
622.5000	0.00581
622.0000	0.00569
621.5000	0.00566
621.0000	0.00562
620.5000	0.00551
620.0000	0.0054
619.5000	0.00528
619.0000	0.00519
618.5000	0.00509
618.0000	0.00502
617.5000	0.00496
617.0000	0.00481
616.5000	0.00476
616.0000	0.00466
615.5000	0.00455
615.0000	0.00446
614.5000	0.00441
614.0000	0.00431
613.5000	0.00417
613.0000	0.00403
612.5000	0.004
612.0000	0.00399
611.5000	0.00383
611.0000	0.00363
610.5000	0.00353
610.0000	0.00337
609.5000	0.00327
609.0000	0.00324
608.5000	0.00313
608.0000	0.00315
607.5000	0.00301
607.0000	0.00296
