TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/05/04
TIME	16:55:07
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	700.0000
LASTX	300.0000
NPOINTS	801
FIRSTY	-0.00244
MAXY	0.02160
MINY	-0.02167
XYDATA
700.0000	-0.00244
699.5000	-0.00296
699.0000	-0.00361
698.5000	-0.00373
698.0000	-0.0038
697.5000	-0.00393
697.0000	-0.00407
696.5000	-0.00422
696.0000	-0.00432
695.5000	-0.00431
695.0000	-0.00427
694.5000	-0.0043
694.0000	-0.0043
693.5000	-0.00418
693.0000	-0.00397
692.5000	-0.00381
692.0000	-0.00362
691.5000	-0.00345
691.0000	-0.00316
690.5000	-0.00289
690.0000	-0.00249
689.5000	-0.00223
689.0000	-0.00194
688.5000	-0.00173
688.0000	-0.00146
687.5000	-0.00129
687.0000	-0.00112
686.5000	-0.00093
686.0000	-0.00072
685.5000	-0.00056
685.0000	-0.00037
684.5000	-0.00034
684.0000	-0.00022
683.5000	-0.00018
683.0000	-6E-005
682.5000	3E-005
682.0000	0.00012
681.5000	0.00027
681.0000	0.00046
680.5000	0.00051
680.0000	-1E-005
679.5000	-0.00052
679.0000	-0.00107
678.5000	-0.00118
678.0000	-0.00116
677.5000	-0.00124
677.0000	-0.00132
676.5000	-0.00135
676.0000	-0.00126
675.5000	-0.00126
675.0000	-0.00117
674.5000	-0.00124
674.0000	-0.00127
673.5000	-0.00126
673.0000	-0.00118
672.5000	-0.00111
672.0000	-0.0011
671.5000	-0.00115
671.0000	-0.00115
670.5000	-0.0012
670.0000	-0.00111
669.5000	-0.0011
669.0000	-0.00109
668.5000	-0.00113
668.0000	-0.0011
667.5000	-0.00111
667.0000	-0.00107
666.5000	-0.00107
666.0000	-0.001
665.5000	-0.00096
665.0000	-0.00097
664.5000	-0.00094
664.0000	-0.00096
663.5000	-0.00088
663.0000	-0.00077
662.5000	-0.00075
662.0000	-0.00081
661.5000	-0.00088
661.0000	-0.00087
660.5000	-0.00077
660.0000	-0.00066
659.5000	-0.00062
659.0000	-0.00065
658.5000	-0.00063
658.0000	-0.00062
657.5000	-0.00057
657.0000	-0.00054
656.5000	-0.00057
656.0000	-0.00064
655.5000	-0.0006
655.0000	-0.00057
654.5000	-0.00058
654.0000	-0.00057
653.5000	-0.00055
653.0000	-0.00056
652.5000	-0.0007
652.0000	-0.00075
651.5000	-0.00086
651.0000	-0.00079
650.5000	-0.00088
650.0000	-0.00093
649.5000	-0.00101
649.0000	-0.00111
648.5000	-0.00117
648.0000	-0.00127
647.5000	-0.00134
647.0000	-0.0014
646.5000	-0.00151
646.0000	-0.00163
645.5000	-0.0017
645.0000	-0.00178
644.5000	-0.00187
644.0000	-0.00191
643.5000	-0.00199
643.0000	-0.00207
642.5000	-0.00209
642.0000	-0.00224
641.5000	-0.00227
641.0000	-0.00239
640.5000	-0.0024
640.0000	-0.00248
639.5000	-0.00251
639.0000	-0.00266
638.5000	-0.00271
638.0000	-0.0027
637.5000	-0.00275
637.0000	-0.0029
636.5000	-0.00304
636.0000	-0.00314
635.5000	-0.00314
635.0000	-0.00321
634.5000	-0.00327
634.0000	-0.00341
633.5000	-0.00346
633.0000	-0.00364
632.5000	-0.00377
632.0000	-0.0039
631.5000	-0.00398
631.0000	-0.00407
630.5000	-0.00421
630.0000	-0.00439
629.5000	-0.00442
629.0000	-0.00449
628.5000	-0.00452
628.0000	-0.0047
627.5000	-0.00481
627.0000	-0.00499
626.5000	-0.00508
626.0000	-0.0052
625.5000	-0.00526
625.0000	-0.00538
624.5000	-0.00544
624.0000	-0.00554
623.5000	-0.00561
623.0000	-0.00561
622.5000	-0.0057
622.0000	-0.0058
621.5000	-0.00595
621.0000	-0.00614
620.5000	-0.00627
620.0000	-0.00642
619.5000	-0.00648
619.0000	-0.00652
618.5000	-0.00658
618.0000	-0.00671
617.5000	-0.00677
617.0000	-0.00683
616.5000	-0.00694
616.0000	-0.00706
615.5000	-0.0072
615.0000	-0.00726
