TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/05/04
TIME	16:51:06
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	700.0000
LASTX	300.0000
NPOINTS	801
FIRSTY	-0.00995
MAXY	0.08472
MINY	-0.01126
XYDATA
700.0000	-0.00995
699.5000	-0.01032
699.0000	-0.01079
698.5000	-0.01074
698.0000	-0.01087
697.5000	-0.01108
697.0000	-0.01126
696.5000	-0.01109
696.0000	-0.01058
695.5000	-0.01018
695.0000	-0.01013
694.5000	-0.01034
694.0000	-0.01076
693.5000	-0.01089
693.0000	-0.0107
692.5000	-0.01049
692.0000	-0.01007
691.5000	-0.00988
691.0000	-0.00951
690.5000	-0.00928
690.0000	-0.00873
689.5000	-0.0084
689.0000	-0.00793
688.5000	-0.00762
688.0000	-0.00727
687.5000	-0.00697
687.0000	-0.00666
686.5000	-0.00639
686.0000	-0.00612
685.5000	-0.00584
685.0000	-0.00547
684.5000	-0.00527
684.0000	-0.00497
683.5000	-0.00481
683.0000	-0.00453
682.5000	-0.00434
682.0000	-0.00402
681.5000	-0.00371
681.0000	-0.00338
680.5000	-0.00335
680.0000	-0.00377
679.5000	-0.00425
679.0000	-0.00465
678.5000	-0.00463
678.0000	-0.00444
677.5000	-0.00449
677.0000	-0.00444
676.5000	-0.00436
676.0000	-0.0041
675.5000	-0.00398
675.0000	-0.0038
674.5000	-0.00371
674.0000	-0.00359
673.5000	-0.00346
673.0000	-0.00331
672.5000	-0.00322
672.0000	-0.00302
671.5000	-0.00283
671.0000	-0.00262
670.5000	-0.00255
670.0000	-0.00231
669.5000	-0.00223
669.0000	-0.00213
668.5000	-0.00208
668.0000	-0.00205
667.5000	-0.00184
667.0000	-0.00167
666.5000	-0.0015
666.0000	-0.00134
665.5000	-0.00126
665.0000	-0.00099
664.5000	-0.00082
664.0000	-0.00049
663.5000	-0.00038
663.0000	-0.00015
662.5000	-5E-005
662.0000	0.00021
661.5000	0.0003
661.0000	0.00055
660.5000	0.00076
660.0000	0.00103
659.5000	0.00124
659.0000	0.00145
658.5000	0.00164
658.0000	0.00201
657.5000	0.00229
657.0000	0.00274
656.5000	0.00297
656.0000	0.00331
655.5000	0.00349
655.0000	0.0039
654.5000	0.00413
654.0000	0.00464
653.5000	0.00496
653.0000	0.00532
652.5000	0.0055
652.0000	0.00569
651.5000	0.00588
651.0000	0.00593
650.5000	0.00595
650.0000	0.00589
649.5000	0.00592
649.0000	0.00603
648.5000	0.00607
648.0000	0.00621
647.5000	0.0062
647.0000	0.00639
646.5000	0.00652
646.0000	0.00676
645.5000	0.00686
645.0000	0.00702
644.5000	0.00723
644.0000	0.00759
643.5000	0.00776
643.0000	0.00798
642.5000	0.00809
642.0000	0.00829
641.5000	0.00843
641.0000	0.00867
640.5000	0.00876
640.0000	0.00909
639.5000	0.00928
639.0000	0.0096
638.5000	0.00975
638.0000	0.00984
637.5000	0.00993
637.0000	0.01012
636.5000	0.01024
636.0000	0.01054
635.5000	0.01072
635.0000	0.01109
634.5000	0.01138
634.0000	0.01175
633.5000	0.01205
633.0000	0.01242
632.5000	0.0126
632.0000	0.01296
631.5000	0.01312
631.0000	0.01343
630.5000	0.01362
630.0000	0.014
629.5000	0.01419
629.0000	0.01458
628.5000	0.0148
628.0000	0.01525
627.5000	0.01553
627.0000	0.01592
626.5000	0.01614
626.0000	0.01637
625.5000	0.01651
625.0000	0.01676
624.5000	0.01699
624.0000	0.01726
623.5000	0.0174
623.0000	0.01751
622.5000	0.01772
622.0000	0.01795
621.5000	0.01815
621.0000	0.0185
620.5000	0.01884
620.0000	0.01925
619.5000	0.01942
619.0000	0.01973
618.5000	0.01996
618.0000	0.0204
617.5000	0.02066
617.0000	0.02104
616.5000	0.02125
616.0000	0.02167
615.5000	0.0219
615.0000	0.02228
614.5000	0.02251
614.0000	0.0229
613.5000	0.02317
613.0000	0.02362
612.5000	0.02397
612.0000	0.02445
611.5000	0.02478
611.0000	0.02506
610.5000	0.02528
