TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/05/04
TIME	16:46:29
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	700.0000
LASTX	300.0000
NPOINTS	801
FIRSTY	-0.01255
MAXY	0.02236
MINY	-0.01679
XYDATA
700.0000	-0.01255
699.5000	-0.01301
699.0000	-0.01376
698.5000	-0.01381
698.0000	-0.01401
697.5000	-0.01411
697.0000	-0.01422
696.5000	-0.01421
696.0000	-0.01424
695.5000	-0.01423
695.0000	-0.01431
694.5000	-0.01433
694.0000	-0.01432
693.5000	-0.01425
693.0000	-0.01395
692.5000	-0.01379
692.0000	-0.01345
691.5000	-0.01324
691.0000	-0.01289
690.5000	-0.01266
690.0000	-0.01234
689.5000	-0.01208
689.0000	-0.01176
688.5000	-0.01154
688.0000	-0.01118
687.5000	-0.01098
687.0000	-0.01065
686.5000	-0.01054
686.0000	-0.01033
685.5000	-0.01018
685.0000	-0.00997
684.5000	-0.00978
684.0000	-0.00964
683.5000	-0.00957
683.0000	-0.00946
682.5000	-0.0094
682.0000	-0.00918
681.5000	-0.00901
681.0000	-0.00867
680.5000	-0.00864
680.0000	-0.00897
679.5000	-0.00947
679.0000	-0.01011
678.5000	-0.01034
678.0000	-0.01026
677.5000	-0.01019
677.0000	-0.01013
676.5000	-0.01014
676.0000	-0.01007
675.5000	-0.01003
675.0000	-0.01002
674.5000	-0.01009
674.0000	-0.01005
673.5000	-0.01003
673.0000	-0.00999
672.5000	-0.00998
672.0000	-0.00994
671.5000	-0.00995
671.0000	-0.00992
670.5000	-0.00989
670.0000	-0.00983
669.5000	-0.00978
669.0000	-0.0097
668.5000	-0.00973
668.0000	-0.0097
667.5000	-0.00973
667.0000	-0.00963
666.5000	-0.00957
666.0000	-0.00951
665.5000	-0.00947
665.0000	-0.00945
664.5000	-0.00942
664.0000	-0.00935
663.5000	-0.0094
663.0000	-0.00934
662.5000	-0.00931
662.0000	-0.00914
661.5000	-0.00907
661.0000	-0.00892
660.5000	-0.0089
660.0000	-0.00894
659.5000	-0.00895
659.0000	-0.00895
658.5000	-0.00889
658.0000	-0.00878
657.5000	-0.0087
657.0000	-0.00867
656.5000	-0.00866
656.0000	-0.00865
655.5000	-0.00859
655.0000	-0.0085
654.5000	-0.00844
654.0000	-0.00832
653.5000	-0.00825
653.0000	-0.00819
652.5000	-0.00819
652.0000	-0.00818
651.5000	-0.00803
651.0000	-0.00784
650.5000	-0.0078
650.0000	-0.00771
649.5000	-0.00771
649.0000	-0.00761
648.5000	-0.00759
648.0000	-0.0075
647.5000	-0.00745
647.0000	-0.0074
646.5000	-0.00737
646.0000	-0.0073
645.5000	-0.00722
645.0000	-0.00705
644.5000	-0.00694
644.0000	-0.0068
643.5000	-0.00671
643.0000	-0.0067
642.5000	-0.00666
642.0000	-0.00659
641.5000	-0.00651
641.0000	-0.00632
640.5000	-0.00625
640.0000	-0.00614
639.5000	-0.00609
639.0000	-0.00602
638.5000	-0.00599
638.0000	-0.00585
637.5000	-0.00581
637.0000	-0.00567
636.5000	-0.0056
636.0000	-0.00542
635.5000	-0.00524
635.0000	-0.00524
634.5000	-0.0052
634.0000	-0.00501
633.5000	-0.00478
633.0000	-0.0046
632.5000	-0.00457
632.0000	-0.00451
631.5000	-0.00444
631.0000	-0.00434
630.5000	-0.00427
630.0000	-0.00419
629.5000	-0.00402
629.0000	-0.00378
628.5000	-0.00369
628.0000	-0.00358
627.5000	-0.00355
627.0000	-0.00343
626.5000	-0.00331
626.0000	-0.00312
625.5000	-0.00305
625.0000	-0.00282
624.5000	-0.00271
624.0000	-0.00254
623.5000	-0.00245
623.0000	-0.00227
622.5000	-0.00214
622.0000	-0.00199
621.5000	-0.00189
621.0000	-0.00177
620.5000	-0.00158
620.0000	-0.00139
619.5000	-0.0013
619.0000	-0.00113
618.5000	-0.00107
618.0000	-0.00091
617.5000	-0.00084
617.0000	-0.00062
616.5000	-0.00049
616.0000	-0.00028
615.5000	-0.00018
