TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/05/04
TIME	10:21:15
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	700.0000
LASTX	300.0000
NPOINTS	801
FIRSTY	0.01245
MAXY	0.13728
MINY	-0.34603
XYDATA
700.0000	0.01245
699.5000	0.01214
699.0000	0.01166
698.5000	0.01163
698.0000	0.01156
697.5000	0.01146
697.0000	0.01132
696.5000	0.01119
696.0000	0.0111
695.5000	0.01106
695.0000	0.01102
694.5000	0.01089
694.0000	0.01085
693.5000	0.0107
693.0000	0.01068
692.5000	0.01047
692.0000	0.01041
691.5000	0.01023
691.0000	0.01021
690.5000	0.01012
690.0000	0.01016
689.5000	0.01007
689.0000	0.01014
688.5000	0.01007
688.0000	0.01008
687.5000	0.01005
687.0000	0.01
686.5000	0.0099
686.0000	0.00987
685.5000	0.00974
685.0000	0.00964
684.5000	0.00958
684.0000	0.00955
683.5000	0.00961
683.0000	0.00957
682.5000	0.00952
682.0000	0.00944
681.5000	0.0093
681.0000	0.00929
680.5000	0.00951
680.0000	0.00919
679.5000	0.00912
679.0000	0.00901
678.5000	0.00885
678.0000	0.00895
677.5000	0.00903
677.0000	0.00916
676.5000	0.00911
676.0000	0.00897
675.5000	0.0089
675.0000	0.00891
674.5000	0.00886
674.0000	0.0089
673.5000	0.00885
673.0000	0.00882
672.5000	0.00884
672.0000	0.00894
671.5000	0.00902
671.0000	0.00903
670.5000	0.00899
670.0000	0.00881
669.5000	0.0088
669.0000	0.00879
668.5000	0.0089
668.0000	0.00888
667.5000	0.00887
667.0000	0.00884
666.5000	0.0089
666.0000	0.00889
665.5000	0.00887
665.0000	0.00882
664.5000	0.00887
664.0000	0.00887
663.5000	0.00891
663.0000	0.00889
662.5000	0.00895
662.0000	0.0089
661.5000	0.00899
661.0000	0.00907
660.5000	0.00906
660.0000	0.00903
659.5000	0.00902
659.0000	0.00904
658.5000	0.00909
658.0000	0.00916
657.5000	0.0092
657.0000	0.00937
656.5000	0.00937
656.0000	0.00931
655.5000	0.00939
655.0000	0.00956
654.5000	0.00963
654.0000	0.00964
653.5000	0.00964
653.0000	0.00963
652.5000	0.00973
652.0000	0.00992
651.5000	0.00992
651.0000	0.00993
650.5000	0.00991
650.0000	0.00999
649.5000	0.01011
649.0000	0.01022
648.5000	0.01032
648.0000	0.01046
647.5000	0.01046
647.0000	0.01058
646.5000	0.01069
646.0000	0.01081
645.5000	0.01083
645.0000	0.01087
644.5000	0.01089
644.0000	0.01098
643.5000	0.01111
643.0000	0.01122
642.5000	0.01124
642.0000	0.01134
641.5000	0.01146
641.0000	0.0117
640.5000	0.01186
640.0000	0.01205
639.5000	0.01208
639.0000	0.01218
638.5000	0.01233
638.0000	0.01253
637.5000	0.01257
637.0000	0.01275
636.5000	0.01286
636.0000	0.01302
635.5000	0.01306
635.0000	0.01324
634.5000	0.01338
634.0000	0.01359
633.5000	0.01365
633.0000	0.01378
632.5000	0.01392
632.0000	0.01426
631.5000	0.0143
631.0000	0.01443
630.5000	0.01453
630.0000	0.01481
629.5000	0.01502
629.0000	0.0153
628.5000	0.01537
628.0000	0.01563
627.5000	0.01575
627.0000	0.01607
626.5000	0.01629
626.0000	0.0166
625.5000	0.01672
625.0000	0.01696
624.5000	0.01706
624.0000	0.01726
623.5000	0.01744
623.0000	0.01765
622.5000	0.01772
622.0000	0.01795
621.5000	0.01817
621.0000	0.01859
620.5000	0.01872
620.0000	0.01905
619.5000	0.01917
619.0000	0.01942
618.5000	0.01957
618.0000	0.01987
617.5000	0.02011
617.0000	0.02034
616.5000	0.0206
616.0000	0.02092
615.5000	0.02109
615.0000	0.02141
614.5000	0.02162
614.0000	0.02192
613.5000	0.02211
613.0000	0.02235
612.5000	0.02257
612.0000	0.0229
611.5000	0.02303
611.0000	0.0233
610.5000	0.02356
610.0000	0.02389
609.5000	0.02414
609.0000	0.02444
608.5000	0.02466
608.0000	0.025
607.5000	0.02524
607.0000	0.02556
606.5000	0.02581
