TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/05/04
TIME	17:17:53
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	700.0000
LASTX	300.0000
NPOINTS	401
FIRSTY	0.02495
MAXY	0.03923
MINY	-0.02575
XYDATA
700.0000	0.02495
699.0000	0.02413
698.0000	0.024
697.0000	0.02412
696.0000	0.02417
695.0000	0.02415
694.0000	0.02413
693.0000	0.02415
692.0000	0.02394
691.0000	0.02372
690.0000	0.02355
689.0000	0.02329
688.0000	0.0229
687.0000	0.02247
686.0000	0.0221
685.0000	0.02164
684.0000	0.02121
683.0000	0.02075
682.0000	0.0203
681.0000	0.01986
680.0000	0.01939
679.0000	0.01938
678.0000	0.01929
677.0000	0.0192
676.0000	0.01907
675.0000	0.01892
674.0000	0.01891
673.0000	0.01893
672.0000	0.01892
671.0000	0.01881
670.0000	0.01883
669.0000	0.01909
668.0000	0.01879
667.0000	0.01876
666.0000	0.01888
665.0000	0.01885
664.0000	0.01886
663.0000	0.01886
662.0000	0.01898
661.0000	0.01901
660.0000	0.0189
659.0000	0.01894
658.0000	0.01886
657.0000	0.01884
656.0000	0.01894
655.0000	0.0188
654.0000	0.01868
653.0000	0.0187
652.0000	0.01863
651.0000	0.01853
650.0000	0.01843
649.0000	0.01822
648.0000	0.01801
647.0000	0.01782
646.0000	0.01764
645.0000	0.01756
644.0000	0.01741
643.0000	0.01724
642.0000	0.01695
641.0000	0.01667
640.0000	0.01668
639.0000	0.0165
638.0000	0.01631
637.0000	0.016
636.0000	0.01581
635.0000	0.01563
634.0000	0.01548
633.0000	0.01538
632.0000	0.01499
631.0000	0.01478
630.0000	0.01465
629.0000	0.01464
628.0000	0.01435
627.0000	0.01393
626.0000	0.01375
625.0000	0.01353
624.0000	0.0133
623.0000	0.01318
622.0000	0.01283
621.0000	0.01274
620.0000	0.01253
619.0000	0.01241
618.0000	0.01215
617.0000	0.01193
616.0000	0.01181
615.0000	0.0115
614.0000	0.0113
613.0000	0.01117
612.0000	0.01092
611.0000	0.01065
610.0000	0.0105
609.0000	0.01045
608.0000	0.01032
607.0000	0.01021
606.0000	0.00994
605.0000	0.0098
604.0000	0.00963
603.0000	0.00943
602.0000	0.00928
601.0000	0.00912
600.0000	0.00905
599.0000	0.00878
598.0000	0.00887
597.0000	0.00883
596.0000	0.00847
595.0000	0.00838
594.0000	0.00819
593.0000	0.00819
592.0000	0.00817
591.0000	0.00797
590.0000	0.00767
589.0000	0.00757
588.0000	0.00755
587.0000	0.00742
586.0000	0.00743
585.0000	0.00735
584.0000	0.00727
583.0000	0.00708
582.0000	0.00681
581.0000	0.00673
580.0000	0.00671
579.0000	0.00669
578.0000	0.00656
577.0000	0.00648
576.0000	0.00635
575.0000	0.00633
574.0000	0.00627
573.0000	0.00633
572.0000	0.00622
571.0000	0.00597
570.0000	0.00593
569.0000	0.00586
568.0000	0.00577
567.0000	0.00574
566.0000	0.00575
565.0000	0.00571
564.0000	0.00553
563.0000	0.00539
562.0000	0.00544
561.0000	0.00542
560.0000	0.00541
559.0000	0.00533
558.0000	0.00529
557.0000	0.00525
556.0000	0.00524
555.0000	0.00511
554.0000	0.0051
553.0000	0.00485
552.0000	0.00484
551.0000	0.00489
550.0000	0.00484
549.0000	0.00476
548.0000	0.00492
547.0000	0.00494
546.0000	0.00483
545.0000	0.00469
544.0000	0.00463
543.0000	0.00467
542.0000	0.00476
541.0000	0.00466
540.0000	0.00472
539.0000	0.00454
538.0000	0.00449
537.0000	0.00436
536.0000	0.00423
535.0000	0.00428
534.0000	0.00432
533.0000	0.00428
532.0000	0.00427
531.0000	0.00424
530.0000	0.00417
529.0000	0.00411
528.0000	0.00395
527.0000	0.00404
526.0000	0.00394
525.0000	0.00377
524.0000	0.00394
523.0000	0.0039
522.0000	0.00379
521.0000	0.00378
520.0000	0.00347
519.0000	0.00359
518.0000	0.00362
517.0000	0.00355
516.0000	0.00345
515.0000	0.00343
514.0000	0.00328
513.0000	0.00335
