TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/05/04
TIME	17:08:54
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	700.0000
LASTX	300.0000
NPOINTS	401
FIRSTY	-0.00962
MAXY	0.04299
MINY	-0.03537
XYDATA
700.0000	-0.00962
699.0000	-0.01075
698.0000	-0.0108
697.0000	-0.0108
696.0000	-0.01083
695.0000	-0.01067
694.0000	-0.01035
693.0000	-0.00992
692.0000	-0.00939
691.0000	-0.00882
690.0000	-0.00835
689.0000	-0.00789
688.0000	-0.00758
687.0000	-0.00738
686.0000	-0.00738
685.0000	-0.0074
684.0000	-0.00758
683.0000	-0.0076
682.0000	-0.00782
681.0000	-0.00775
680.0000	-0.00852
679.0000	-0.00975
678.0000	-0.00972
677.0000	-0.0095
676.0000	-0.00941
675.0000	-0.00938
674.0000	-0.00932
673.0000	-0.00929
672.0000	-0.00917
671.0000	-0.0092
670.0000	-0.00895
669.0000	-0.0089
668.0000	-0.00882
667.0000	-0.00883
666.0000	-0.00889
665.0000	-0.00871
664.0000	-0.00861
663.0000	-0.00857
662.0000	-0.00844
661.0000	-0.0083
660.0000	-0.00815
659.0000	-0.00811
658.0000	-0.00802
657.0000	-0.00779
656.0000	-0.00761
655.0000	-0.00748
654.0000	-0.00724
653.0000	-0.00708
652.0000	-0.00688
651.0000	-0.00658
650.0000	-0.00629
649.0000	-0.00609
648.0000	-0.00589
647.0000	-0.00557
646.0000	-0.00534
645.0000	-0.00502
644.0000	-0.00463
643.0000	-0.00433
642.0000	-0.00405
641.0000	-0.00381
640.0000	-0.00345
639.0000	-0.00306
638.0000	-0.00267
637.0000	-0.0024
636.0000	-0.00206
635.0000	-0.0016
634.0000	-0.00123
633.0000	-0.00082
632.0000	-0.00042
631.0000	7E-005
630.0000	0.00046
629.0000	0.00098
628.0000	0.0014
627.0000	0.0018
626.0000	0.00229
625.0000	0.00275
624.0000	0.00319
623.0000	0.00386
622.0000	0.00429
621.0000	0.0048
620.0000	0.00532
619.0000	0.00583
618.0000	0.00633
617.0000	0.00689
616.0000	0.00741
615.0000	0.00785
614.0000	0.00844
613.0000	0.00905
612.0000	0.00958
611.0000	0.01016
610.0000	0.01078
609.0000	0.01133
608.0000	0.01189
607.0000	0.01243
606.0000	0.01302
605.0000	0.01362
604.0000	0.0143
603.0000	0.01481
602.0000	0.01535
601.0000	0.01611
600.0000	0.01678
599.0000	0.01739
598.0000	0.01805
597.0000	0.01867
596.0000	0.01934
595.0000	0.02001
594.0000	0.02067
593.0000	0.02123
592.0000	0.02195
591.0000	0.02263
590.0000	0.02327
589.0000	0.02388
588.0000	0.02441
587.0000	0.02502
586.0000	0.02571
585.0000	0.02638
584.0000	0.0271
583.0000	0.02777
582.0000	0.02841
581.0000	0.029
580.0000	0.02944
579.0000	0.03004
578.0000	0.03062
577.0000	0.03118
576.0000	0.03182
575.0000	0.03234
574.0000	0.03284
573.0000	0.03336
572.0000	0.03398
571.0000	0.03439
570.0000	0.03487
569.0000	0.03532
568.0000	0.03571
567.0000	0.03622
566.0000	0.03679
565.0000	0.03717
564.0000	0.03752
563.0000	0.03786
562.0000	0.03812
561.0000	0.03845
560.0000	0.03862
559.0000	0.03894
558.0000	0.0391
557.0000	0.03937
556.0000	0.03957
555.0000	0.03973
554.0000	0.03978
553.0000	0.03977
552.0000	0.03988
551.0000	0.03999
550.0000	0.04
549.0000	0.04001
548.0000	0.03997
547.0000	0.03984
546.0000	0.03974
545.0000	0.03956
544.0000	0.03935
543.0000	0.03928
542.0000	0.03904
541.0000	0.03875
540.0000	0.03833
539.0000	0.0379
538.0000	0.0375
537.0000	0.03709
536.0000	0.03667
535.0000	0.03614
534.0000	0.03571
533.0000	0.03529
532.0000	0.03463
531.0000	0.03409
530.0000	0.03343
529.0000	0.03274
528.0000	0.03205
527.0000	0.0314
526.0000	0.03076
525.0000	0.03002
524.0000	0.0292
523.0000	0.0284
522.0000	0.02766
521.0000	0.02686
520.0000	0.02525
