TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	23/05/04
TIME	09:39:54
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	700.0000
LASTX	300.0000
NPOINTS	801
FIRSTY	0.00190
MAXY	1.28798
MINY	0.00032
XYDATA
700.0000	0.0019
699.5000	0.00154
699.0000	0.00112
698.5000	0.00107
698.0000	0.00108
697.5000	0.00113
697.0000	0.00118
696.5000	0.00121
696.0000	0.0012
695.5000	0.00128
695.0000	0.0014
694.5000	0.00147
694.0000	0.00154
693.5000	0.00161
693.0000	0.00174
692.5000	0.00183
692.0000	0.002
691.5000	0.0021
691.0000	0.00229
690.5000	0.00226
690.0000	0.00236
689.5000	0.00251
689.0000	0.00287
688.5000	0.00279
688.0000	0.00282
687.5000	0.00276
687.0000	0.00278
686.5000	0.00266
686.0000	0.00251
685.5000	0.00239
685.0000	0.00238
684.5000	0.00228
684.0000	0.00221
683.5000	0.00214
683.0000	0.002
682.5000	0.00186
682.0000	0.0018
681.5000	0.00173
681.0000	0.00187
680.5000	0.00176
680.0000	0.00111
679.5000	0.00076
679.0000	0.00045
678.5000	0.00032
678.0000	0.00032
677.5000	0.00036
677.0000	0.00043
676.5000	0.00047
676.0000	0.00049
675.5000	0.0005
675.0000	0.00056
674.5000	0.00058
674.0000	0.00056
673.5000	0.00047
673.0000	0.00043
672.5000	0.00046
672.0000	0.00057
671.5000	0.00056
671.0000	0.00054
670.5000	0.0005
670.0000	0.00042
669.5000	0.00041
669.0000	0.00045
668.5000	0.00051
668.0000	0.00048
667.5000	0.00044
667.0000	0.00036
666.5000	0.00046
666.0000	0.00057
665.5000	0.00055
665.0000	0.00053
664.5000	0.00051
664.0000	0.00063
663.5000	0.00061
663.0000	0.00057
662.5000	0.00049
662.0000	0.00053
661.5000	0.00059
661.0000	0.00062
660.5000	0.00053
660.0000	0.00054
659.5000	0.00057
659.0000	0.00064
658.5000	0.0006
658.0000	0.00054
657.5000	0.00057
657.0000	0.00062
656.5000	0.0007
656.0000	0.00084
655.5000	0.00075
655.0000	0.00064
654.5000	0.00065
654.0000	0.00061
653.5000	0.00061
653.0000	0.00063
652.5000	0.00073
652.0000	0.00075
651.5000	0.0008
651.0000	0.00085
650.5000	0.00085
650.0000	0.00089
649.5000	0.00089
649.0000	0.00083
648.5000	0.00078
648.0000	0.00067
647.5000	0.0007
647.0000	0.00074
646.5000	0.00077
646.0000	0.00084
645.5000	0.00096
645.0000	0.00108
644.5000	0.00103
644.0000	0.00096
643.5000	0.00097
643.0000	0.00097
642.5000	0.00103
642.0000	0.00106
641.5000	0.00106
641.0000	0.00102
640.5000	0.00101
640.0000	0.001
639.5000	0.00113
639.0000	0.00116
638.5000	0.00114
638.0000	0.00117
637.5000	0.0012
637.0000	0.00123
636.5000	0.00114
636.0000	0.00119
635.5000	0.00123
635.0000	0.00131
634.5000	0.00125
634.0000	0.00121
633.5000	0.00132
633.0000	0.00131
632.5000	0.00133
632.0000	0.0013
631.5000	0.00138
631.0000	0.00145
630.5000	0.0014
630.0000	0.00139
629.5000	0.0014
629.0000	0.0015
628.5000	0.00146
628.0000	0.00148
627.5000	0.00152
627.0000	0.00158
626.5000	0.00159
626.0000	0.00164
625.5000	0.00166
625.0000	0.00181
624.5000	0.00185
624.0000	0.00192
623.5000	0.00186
623.0000	0.00184
622.5000	0.00197
622.0000	0.00203
621.5000	0.00203
621.0000	0.00196
620.5000	0.00206
620.0000	0.00211
619.5000	0.00218
619.0000	0.00207
618.5000	0.00209
618.0000	0.00207
617.5000	0.00212
617.0000	0.00222
616.5000	0.00228
616.0000	0.00233
615.5000	0.00238
615.0000	0.00237
614.5000	0.00238
614.0000	0.0024
613.5000	0.00242
613.0000	0.00245
612.5000	0.00253
612.0000	0.00266
611.5000	0.00267
611.0000	0.00264
610.5000	0.00269
610.0000	0.00282
609.5000	0.00289
609.0000	0.00295
608.5000	0.00293
608.0000	0.00281
607.5000	0.00289
607.0000	0.00301
606.5000	0.00307
